,alpha,beta,gamma,tau,scf_bc,nn_scf_bc
910,11.0,0.24,11.0,0.31,2.130402806,2.1837149
911,23.0,0.4,8.0,0.56,1.39104137,1.4070575
912,23.0,0.55,13.0,0.65,1.465797739,1.5375742
913,24.0,0.35,8.0,0.45,1.585048182,1.605989
914,22.0,0.4,28.0,0.5,1.387467179,1.4928015
915,39.0,0.32,12.0,0.35,2.160509594,2.2931688
916,31.0,0.32,28.0,0.42,2.084979834,2.0283875
917,35.0,0.47,14.0,0.57,1.686866432,1.7550154
918,15.0,0.57,22.0,0.66,1.008980611,1.011221
919,10.0,0.62,12.0,0.78,1.165844942,1.1917778
920,15.0,0.57,15.0,0.69,1.212723912,1.2485319
921,27.0,0.5,24.0,0.52,1.301219728,1.2836952
922,22.0,0.31,23.0,0.46,2.166516654,2.1723943
923,14.0,0.54,15.0,0.68,1.221807116,1.257851
924,6.0,0.24,30.0,0.43,2.998257081,2.7005267
925,16.0,0.37,8.0,0.44,1.556685712,1.569094
926,27.0,0.34,27.0,0.45,1.891923108,1.9322417
927,36.42,0.34,24.42,0.44,2.010761907,2.032964
928,26.0,0.5,25.0,0.51,1.277374516,1.2397004
929,4.0,0.21,15.0,0.4,2.133893198,2.0794291
930,28.0,0.24,19.0,0.43,2.232039074,2.213202
931,21.0,0.33,11.0,0.39,1.837274689,2.0111125
932,28.66,0.45,15.92,0.57,1.596879733,1.6577892
933,14.0,0.66,9.0,0.69,1.425450224,1.4833125
934,11.48,0.27,22.26,0.62,1.616272252,1.6212496
935,23.99,0.55,10.14,0.58,1.619300534,1.6476539
936,6.0,0.62,29.0,0.74,2.106817697,1.7932564
937,31.0,0.41,10.0,0.51,1.635686012,1.7487097
938,20.0,0.38,20.0,0.51,1.745469136,1.8401737
939,12.0,0.43,26.0,0.58,1.3053008,1.3029506
940,35.46,0.28,9.56,0.5,1.446003464,1.511439
941,32.0,0.51,10.0,0.53,1.772449488,1.7595254
942,17.0,0.32,14.0,0.48,1.690079409,1.7949809
943,29.0,0.26,17.0,0.27,2.741722616,2.6005979
944,25.96,0.3,19.66,0.47,2.110132741,2.0798302
945,31.2,0.44,10.02,0.52,1.693375802,1.7415758
946,15.0,0.23,28.0,0.32,3.320202587,2.9389708
947,35.0,0.39,12.0,0.45,1.887040206,1.9737659
948,28.0,0.55,16.0,0.57,1.594560198,1.6207538
949,33.15,0.31,23.1,0.4,2.362131238,2.2451062
950,15.0,0.39,19.0,0.54,1.615336349,1.7040982
951,16.0,0.44,31.0,0.46,1.201635661,1.2846481
952,23.0,0.6,16.0,0.6,1.465904801,1.5216054
953,36.0,0.36,21.0,0.41,2.051899727,2.1146967
954,31.0,0.28,19.0,0.33,2.607876819,2.444962
955,23.0,0.48,16.0,0.56,1.532161001,1.5980246
956,39.0,0.37,18.0,0.42,2.12728048,2.090776
957,32.0,0.38,19.0,0.45,1.965229155,1.9786369
958,33.0,0.38,12.0,0.38,2.040538272,2.1246512
959,13.0,0.38,29.0,0.53,1.465555228,1.5647154
960,12.87,0.2,15.24,0.45,1.712377887,1.6981155
961,36.0,0.38,19.0,0.43,2.038198314,2.0338573
962,19.0,0.38,14.0,0.5,1.696358849,1.698487
963,22.0,0.24,23.0,0.28,3.11422939,2.8546185
964,14.33,0.45,19.68,0.55,1.467910173,1.5242622
965,20.0,0.25,10.0,0.48,1.374831413,1.435397
966,33.0,0.24,26.0,0.26,3.225019792,3.0442612
967,28.0,0.32,22.0,0.37,2.268342939,2.2590404
968,13.0,0.43,13.0,0.56,1.44982065,1.4381753
969,35.37,0.23,26.86,0.28,2.975354113,3.1035235
970,35.29,0.29,20.1,0.37,2.517775017,2.3598788
971,7.26,0.2,19.05,0.39,2.407816436,2.1251514
972,21.0,0.27,31.0,0.29,2.960287932,2.763625
973,13.0,0.43,25.0,0.56,1.332375166,1.3852001
974,34.28,0.25,12.29,0.41,1.866097756,1.8367362
